;text;target
0;sklep oleole rowniez ;3
1;spedzil em jako chlopiec przy tej grze wiele godzin i musze przyznac ze za swoich czasow gra wysoko sie postawila ;2
2;to moj drugi elektryczny podgrzewacz wody poprzedni byl dokladnie taki sam ;0
3;polecam wszystkim ktorzy nie moga miec ladnego metalowego eleganckiego telefonu ktory sie rysuje od samego patrzenia na niego b to prawdziwy strongman wsrod telefonow ;2
4;i to w slonej wodzie na znacznej glebokosci ;2
5;zanim go kupila m czytala m duzo opinii na jego temat byly prawie w pozytywne wiec sie skusila m i jestem bardzo rozczarowana ;1
6;w zasadzie one nie sa juz czarne po zafugowaniu sa szare pelne smug i dziwnych plam ;1
7;slaba jakosc zdjec i filmow sensor mpx powinien dawac lepsze a nie sam snieg ;1
8;poza tym krem jest nijaki ;3
9;jeszcze pare slow co do grafiki ;0
10;gdy kupil em zamontowal em itd swoja julie jako hamulec przedni byla bede uzywal zenskiej formy mowiac o tym hamulcu znakomita ;2
11;czasem tylko zalecana jest suplementacja zelaza ;3
12;pomimo iz jest krociutka bo mozna ja pyknac w niecale godzin to warto wydac pieniazki ;3
13;dziwia mnie bezgranicznie pozytywne opinie tu zamieszczane ;3
14;dobry telefon ;2
15;ogolnie calosciowo nie jestem zadowolony z tego modelu ;1
16;od lipca br gole sie modelem w d jestem bardzo zadowolony ;2
17;polecam na mrozy ;2
18;glosniki na prawde warte polecenia graja czysto i przejzyscie maja dobra separacje instrumentow i przyzwoita scene ;2
19;sok jest malo klarowny sporo duzej frakcji ;1
20;mogl by wyswietlac zegar na czuwaniu ale to nie jest kryterium wyboru wiezy ;3
21;szkoda na to pieniedzy szybko sie zepsul ;1
22;kilka miesiecy po zakupie czajnik byl idealny tzn szybko gotowal wode szumial wzglednie kwestia przyzwyczajenia do szumu nie przepuszczal wody a obudowa sprawiala iz po nagrzaniu sie w trakcie gotowania wody obudowa czajnika nie parzyla ;2
23;nie za duze tylko za male srednie zestawy ;3
24;po kilkukrotnym uzyciu widac roznice wlosy sa lsniace dobrze sie ukladaja a wlosy mam trudne grube ciezkie dlugie takie ktore trudno ulozyc tak jak sie chce bo one zyja swoim zyciem ;2
25;aparat jak za ta cene ujdzie ale filmy sa nie najlepszej jakosci ;3
26;jezeli nie przeszkadza wam to ze o tym czy pedzel wam dlugo posluzy ma decydowac dobra badz zla partia to jak najbardziej go polecam bo uzywa sie go bardzo dobrze ;3
27;jesli jednak pompka lezy na czyms twardym to wibracje sie przenosza i faktycznie jest klopotliwa ;1
28;bezpieczenstwo dziecka najwazniejsze;2
29;telefon fabrycznie nowy fabrycznie zapakowany i jest wadliwy ;1
30;aparat fotgraficzny tragedia ;1
31;nie chce mi sie wiecej pisac o automapie prosze sobie poczytac inne niezbyt pochlebne opinie sa prawdziwe ;1
32;mysle ze sprzet swietnie sprawdzi sie w kuchni mlodych ludzi ;3
33;glowne wady qg w porownaniu do bt to wg mnie o wiele slabsza bateria jesli tylko zaswieci sie dioda rezerwy masz jakies s golenia to jest najbardziej irytujaca wada bo pare razy nie wzialem ze soba ladowarki na krotki weekendowy wyjazd i jak tylko zaswiecila mi sie dioda wiedzialem ze juz nici z przystrzyrzenia brody brak systemu zasysania wlosow chociaz system ten w bt pozostawia wiele do zycznie to jednak roznica jest kolosalna bez systemu zasysania nalezy pogodzic sie ze po goleniu trzeba poswiecic czas na czyszczenie umywalki;1
34;raczej odradzam;1
35;minusem sa uzyte podczas produkcji materialy ale w tej polce cenowej nie powinno to dziwic ;3
36;caly czas psul sie glosnik i plyta glowna ;1
