;text;target
0;sklep oleola rowniezc;3
1;spedzic em jako chlopiec przy ten gra wiele godzina i musiec przyznac ze za swoj czas grac wysoko sie postawic;2
2;to moj drugi elektryczny podgrzewacz woda poprzedni byc dokladnie taki sam;0
3;polecac wszystek ktory nie moc miec ladny metalowy elegancki telefon ktory sie rysowac od sam patrzec na on b to prawdziwy strongman wsrod telefon;2
4;i to w slony woda na znaczny glebokosc;2
5;zanim on kupic m czytac m duzo opinia na on temat byc prawie w pozytywny wiec sie skusic metr i byc bardzo rozczarowac;1
6;w zasada on nie byc juz czarny po zafugowanie byc szary pelny smug i dziwnych plama;1
7;slaby jakosc zdjecie i film sensor mpx powinien dawac dobry a nie sam snieg;1
8;poza ten krem byc nijaki;3
9;jeszcze pare slowo co do grafika;0
10;gdy kupic em zamontowac em i tak dalej swoj julia jako hamulec przednic byc byc uzywac zenski forma mowic o to hamulcu znakomity;2
11;czas tylko zalecac byc suplementacja zelazo;3
12;pomimo iz byc krociutka bo mozna on pyknac w niecaly godzina to warto wydac pieniazka;3
13;dziwic ja bezgranicznie pozytywny opinia tu zamieszczac;3
14;dobry telefon;2
15;ogolnie calosciowo nie byc zadowolony z ten model;1
16;od lipiec biezacy rok gola sie model w d byc bardzo zadowolony;2
17;polecac na mroza;2
18;glosnik na prawde wart polecenie graj czysto i przejzyscie maj dobro separacja instrumentow i przyzwoity scene;2
19;sok byc malo klarowny sporo duzy frakcja;1
20;moc by wyswietlac zegar na czuwanie ale to nie byc kryterium wybor wieza;3
21;szkoda na to pieniadz szybko sie zepsul;1
22;kilka miesiac po zakup czajnik byc idealny tzn szybko gotowac woda szumiec wzglednie kwestia przyzwyczajec do szum nie przepuszczac woda a obudowy sprawiac iz po nagrzac sie w trakt gotowac woda obudowy czajnika nie parzyc;2
23;nie za duzy tylko za maly sredni zestaw;3
24;po kilkukrotny uzycie widac roznica wlos sa lsniace dobrze sie ukladac a wlos miec trudny gruby ciezki dlugi taki ktory trudno ulozyc tak jak sie chciec bo on zyc swoj zycie;2
25;aparat jak za ten cena ujsc ale film byc nie dobry jakosc;3
26;jezeli nie przeszkadzac wy to ze o to czy pedzel wy dlugo posluzy miec decydowac dobry badz zly partia to jak bardzo on polecac bo uzywac sie on bardzo dobrze;3
27;jesli jednak pompka lezec na cos twardy to wibracja sie przenosic i faktycznie byc klopotliwy;1
28;bezpieczenstwo dziecko najwazniejsze;2
29;telefon fabrycznie nowy fabrycznie zapakowac i byc wadliwy;1
30;aparat fotgraficzny tragedio;1
31;nie chciec ja sie duzo pisac o automapa prosic siebie poczytac inny niezbyt pochlebny opinia byc prawdziwy;1
32;myslec ze sprzet swietnie sprawdzic sie w kuchnia mlody czlowiek;3
33;glowny wada qg w porownanie do bt to wedlug ja o wiele slabszac bateria jesli tylko zaswieci sie dioda rezerwa miec jakies s golenie to byc bardzo irytujacy wadac bo par raz nie wzial z sobo ladowarka na krotka weekendowy wyjazd i jak tylko zaswiecilac ja sie dioda wiedzial z juz nic z przystrzyrzic broda brak system zasysac wlosow chociaz system ten w bt pozostawiac wiele do zyczc to jednak roznica byc kolosalny bez system zasysac naleza pogodzic sie z po golec trzeba poswiecic czas na czyszczec umywalka;1
34;raczej odradzac;1
35;minus byc uzyc podczas produkcja material ale w ten polka cenowy nie powinien to dziwic;3
36;caly czas psul sie glosnik i plyta glowny;1
37;po rozpakowac okazac sie ze przyslac zly model bez dodatkowy szyba ruchomy podobny nazwa ten sam firma moc sie pomylic od raz zadzwonic m;3
38;byc to dobry i wytrzymac obudowy;2
39;i sam tez chciec m on posiadac efekt owczy pad;3
40;obudowy rura odprowadzac nie byc stalowo szczotkowac tylko blyszczaca;3
41;niestety grac slabo widziec roznica w ruch rozdzka ps move i podczas ten minuta grac meczarnia kilka raz postac zamiast skoczyc klasc sie lub nie chciec skrecic;1
42;siedzisko profilowac byc strasznie niewygodny;1
43;grzejnik ladny ale miec beznadziejny termostat bez pamiec nastawa i mozliwosc programowania;3
44;caly wiosna byc em bez sekatoro co nie sprawiac ja przyjemnosc gdzie byc sporo ciecie i przycinanie;1
45;poprzedni wyciskarka ktory uzywac metr miec moc w i dzialac jak szatan;0
46;szukac metr wyciskarek ktory nie miec pojemnik na sok tylko wylewac bezposrednio do szklanka i miec duzy moc;0
47;pisac metr juz opinia o ten wynalazek ale widziec ze znic;1
48;granie do db z odleglosc metr byc bezpieczny;2
49;tragedia bynajmniej nie miec po za element trzymajacy wozek z kolo ktory nijak nie moc dokladnie wcisnac;3
50;dzialac super przez pierwszy miesiac;3
51;super ekspres dla niewymagajacy wiele funkcja w jeden bo w to byc ubogi ale kawa byc normalnie parzic jak w drozszy ekspresa do okolo zloty smakowo rownie smaczny pianka idealny moj wybrac typ i rodzaj kawa pity z inny ekspres;3
52;proponowac powaznie sie zastanowic przed zakup;1
53;wada brak elektroniczny wyswietlaczac brak sygnal dzwiekowy informujacy o zakonczyc prac nie wiadomo ile konkretny program trwac na przyklad brak informacja o prac minia w instrukcja brak informacja o ile skracac przycisk skracajyc prac przy konkretny funkcja oznaczyc funkcja moc by byc dobry na przyklad w poprzedni amice miec m funkcja jeansa recznik szybki minuta funkcja byc b intuicyjny byc dosc glosna;1
54;sam butelka byc identyczny jak w przypadek zwykly perfum nie miec na on zaden oznaczenie czy napis wskazujacego na fakt ze byc to tester;2
55;lg powinien zwracac za ten pieniadz;1
